author_id,username,author_followers,author_tweets,text,created_at,retweets,likes,tweet_length
1369785799810629649,Zeus7613,51,1113,"@Zkbx24 @halfworlders @Epadron2307 @AnibalGarzon Si supieras algo ignorante, sabrías que las sanciones de Trump fueron las más duras, ya que fueron directo a la parte económica entre países, las de obama fueron a los funcionarios de la dictadura, por lo menos infórmate y no pases verguenza.",2022-10-21T02:09:52.000Z,0,0,291
4238195054,GSPeschl,106,6126,"@KimLivLuvLafs @JavonAPrice And there were documentary’s there for Trump as well, ahh don’t mention that right",2022-10-21T02:09:52.000Z,0,0,110
1519727659785281537,Stephan44202079,82,3108,"@Rockinrobinv1 @tskyyc_king @CasuallyGreg @robreiner It’s as good a reason as any.

‘________’ &lt;—fill in the blank with whichever boring, reused Trump insult you’ve got. The Democrats are imploding.",2022-10-21T02:09:52.000Z,0,0,201
874415903978508289,LukeBrussel,9072,16435,@BillKristol @LivLuvLaf5 The level of intellectual dishonesty (or delusion) it requires to justify abandoning one’s own beliefs in favor of that of the Trump/QAnon masses is unreal. @johnddavidson - how humiliating.,2022-10-21T02:09:52.000Z,0,0,215
1355032644250120192,realDottieD,125,2607,What about a Donald Trump podcast?,2022-10-21T02:09:51.000Z,0,0,34
1480317750249668614,susan_pritt,61,20367,Trump SLAMS J6 Committee After Subpoena Decision https://t.co/oDAE1ULhIa,2022-10-21T02:09:51.000Z,0,0,72
1349099901435654147,TormentedMind10,615,14031,"@axios @LindseyGrahamSC the jig is up. Whatever trump has on you, can’t be worse than being a sitting member of congress who is a traitor to the United States of America",2022-10-21T02:09:51.000Z,0,0,169
891099294035578881,TheDerpStateHQ,9028,34246,@TessPlease2010 Trump taking the oath of office.,2022-10-21T02:09:51.000Z,0,0,48
1348003939774558208,somedetroitguy,2,357,@MarshaBlackburn And you voted to give Trump a pass when he tried to solicit a bribe from Ukraine and again when he tried to overthrow democracy. Crazy how you don't care about law and order when Republicans break the law.,2022-10-21T02:09:50.000Z,0,0,222
1213947081955536896,CometsComentary,2053,14580,"@megynkelly How would you rate Megyn Kelly on Comet's ascending order of stupidity?
1.  Dumb.
2.  Very Dumb.
3.  Trump Dumb.
4.  Eric Trump Dumb.
5.  Herschel Walker Dumb.",2022-10-21T02:09:50.000Z,0,0,171
4390331,mickivoss,7851,343671,Judge's 'astonishing' ruling shows 'an ongoing course of criminality' between Trump and Eastman: legal analyst https://t.co/NUzoloP6HB,2022-10-21T02:09:48.000Z,0,0,134
941917383492435968,jasonsu77493203,90,5067,@AdamKinzinger Respect for all you’ve done and said re: trump.  Thank you.  Sincerely.,2022-10-21T02:09:48.000Z,0,0,86
513546279,Hendoe1968,205,10384,@MysterySolvent That's the size of Trump's ........,2022-10-21T02:09:48.000Z,0,0,51
1552305499294511107,birdieonemore,4,1347,@mcurtis12news @12News Can Democrats think of anything else to charge President Trump with according to them he’s Bonnie and Clyde it really laughable but free advertising is good could backfire in 2024 he’s gaining support people only remember how good it was when he ran the country 😎,2022-10-21T02:09:47.000Z,0,0,286
736004984,jprince_cheryl,472,48315,"Whether by design or whether it incidental, the American People have seen the sharp contrast between quality of life with and without Trump

The speed at which the Biden regime inflated the cost of living will cause deep sleepers to recognize something is wrong",2022-10-21T02:09:47.000Z,0,0,261
818934188,robyn_weber,1341,23976,"@Jim_Jordan 2 words, fuckface. 

Trump’s Taxes. https://t.co/6OXgAblLHt",2022-10-21T02:09:47.000Z,0,0,71
822228397598199808,JDSchneider6,63,11994,"@Rozemarijn97 @TPBlue4 @kimguilfoyle 1. 1981 &amp; 1986 Reagan tax cuts.
2. 2001 &amp; 2003 Bush tax cuts.
3. Iraq &amp; Afghanistan wars. 
4. 2008 Financial collapse bailouts to private industry.
5. 2017 Trump tax cuts. 
6. 2020 and 2021 Covid pandemic spending (that mainly went to business via the PPP and other programs). https://t.co/iwnUDZpEng",2022-10-21T02:09:47.000Z,0,0,349
2452545620,banthefrontlawn,4704,37240,"@RonJohnsonWI So eliminate the Trump tax cut, then. Geesh, so obvious.",2022-10-21T02:09:46.000Z,0,0,70
