screen_name,id,protected,followers,follow_count
Yuanxin_Wang_,1172161758,False,70,195
az_jacobs,579143740,False,2308,1892
nickmvincent,890345761690595328,False,348,401
erikaaiwen,1060047208098127872,False,879,5001
jmtoralc,36602303,False,4555,4999
ajgdennison,265171231,False,119,1554
acawiki,18393372,False,143,115
ophiryotam,1179684373,False,2753,1464
er_ique,1044435872274362368,False,3710,1581
JosephineLukito,24355706,False,2791,1302
gophi,14265113,False,1614,1771
george_berry,318262821,False,2332,2576
Yuxing_Wu_,1162464314,False,170,647
emillykmartinez,1054393956824424448,False,338,251
JingwenZhang,123082504,False,650,815
lucy3_li,861417356756533248,False,1749,948
notrandomid,1548283405,True,0,4828
kadreyd,92605618,False,215,354
hanlinliii,712381318051577857,False,254,349
freedomblooms,1078091359699910656,False,6,131
MaitrayeUrmi,2854090646,False,379,481
menaminiki,784310838,False,657,1108
KayleneMcClan,1085644176484691969,False,1244,643
nargesmahyar,796360974034841600,False,1211,1528
olgarithmic,2259993758,False,1634,3333
yian_yin,4418399352,False,460,820
nimishuh,1060445723919929345,False,235,474
LisaBHurwitz,883595857,False,124,155
fromthehip,6774272,False,16405,15828
moratsukamoto,267984962,False,1880,925
MishaTeplitskiy,963220649811611648,False,1479,811
Meghana_R,78246263,False,671,961
matthew_bui,103490744,False,1821,1741
EmilyEPorter,3495328160,False,150,591
lamba_manika,958046625376514048,False,1051,4075
KarynRiddle7,1352420582,False,1166,1735
LukaszSzulc,464059992,False,3609,5002
amaatouq,243804207,False,3621,1079
bridgethapner,4786151128,False,82,473
docmattweber,6758652,False,1766,3418
CamilleEndacott,1042092779986452490,False,227,381
julie_hui,240846621,False,687,569
RothSmith,366361756,False,130,128
elaragon,123695829,False,4160,2568
lizbmarquis,982724506786594818,False,564,379
niloufar_s,1047629330489036800,False,5216,2354
notconfusing,286504285,False,926,599
dashunwang,16191522,False,3664,925
alliecmorgan,815673126818299904,False,951,1245
joshuagay,9233842,False,1461,1558
liam_essig,1042438863824707584,False,277,636
jason_schmitt,113522520,False,3310,1371
andrea_caflisch,4875358156,False,112,787
yibeichan,3252350630,False,29,163
dapr12,148116431,False,522,4999
thannigan,13256982,False,1773,1387
gan_ef,1367870052,False,265,1965
JonMichaelWalls,2204794339,False,356,778
iPhiloSophia1,1023399072143749120,False,345,502
Dilrukshi_LK,2240601558,False,1086,2300
Naledgesince82,16996332,False,9130,9817
SAGEOceanTweets,955839918466531329,False,1928,1201
DanajaT,148052204,False,552,1181
Mohsen_Bahrami_,803944483742248960,False,335,1069
seejenspeak,222008219,False,1046,1051
albus931003,1391327538,True,78,351
JoseyVanOrsdale,1008726488869466113,False,39,53
CulSoc,830036570325532674,False,7840,5041
BloklandJesse,1012699933386764290,False,1470,3220
konglish4u,68770707,False,448,2482
joshuaaclark,436806727,False,444,1540
Kat_Albrecht,877180385855254532,False,643,491
apilny2,865404458,False,247,199
eolamijuwon,923594581429641216,False,537,517
BenListyg,14512581,False,995,4993
kayleachampion,2363921,False,223,1037
zack_almquist,16192510,False,930,2649
fmerhout,3546415996,False,827,1046
ParagonSci_Inc,621170614,False,957,4462
yiqinfu,18262382,False,9123,5106
eabanoz,63066940,True,93,432
taywbrown,2288529516,False,733,267
jeremiahbohr,2637299954,False,209,470
RolandAdorjani,2903570224,False,247,683
DustinStoltz,19669254,False,1987,894
Cansu_ED,268977739,False,2758,2362
balazsvedres,2742636202,False,776,1052
acmebkpsol,1003852012688105472,False,6,52
jessecshore,1585948734,False,787,824
cuihua,9700072,False,1051,1484
rasmus_kleis,1699604941,False,28784,4876
MohHosseinioun,3425191396,False,233,490
yinizhang2011,576788665,False,619,1579
brihightower,18618660,False,341,424
Sys_innovation,593041510,False,13872,6718
CommDeptMSU,929023753908047872,False,580,402
ohmybit_EN,981076429453471744,False,919,4239
tacomanbearpig,564948043,False,119,491
davidhopkinsmus,40309388,False,217,266
PamOliver1180,353153122,False,2532,677
NorthwesternGW,780082356858257409,False,3216,1220
ReaderMeter,183575679,False,6833,3705
i4oc_org,840612089626468353,False,3863,3100
Akbaritabar,359838444,False,2014,1491
AbeSanderson,980851348101935104,False,15,61
MarieLRadford,577283256,False,1163,1557
JohannJakobH,3374157063,True,407,4382
josemurilo,1347441,False,3862,3114
gclinnell,594131225,True,550,1074
Angliiii_,610226758,False,43,228
paulusm,11576052,False,897,1128
eredmil1,2723963928,False,7082,6043
MaryChayko,392737670,False,6066,4187
libbyh,1697081,False,1459,596
ssuri,17131720,False,2821,327
MattHindman,65756735,False,1672,1332
vosonlab,761799570426765312,False,329,411
dagwood,10671162,False,1490,392
onurvarol,77436536,False,3030,3686
salesforce,33612317,False,556527,148529
fionafio2334,4161642916,True,99,226
nniiicc,27761821,False,1034,2013
Atabey_Kaygun,17239073,False,1196,3328
ReveluntSong,4263507922,False,714,838
HahnJLynn,1515101016,False,4366,4286
DrLisaCorrigan,956244469,False,8010,6486
