text,timestamp,favorite_count,followers,friends_count
RT @RebelCue: @DanLamothe @sam_vinograd @SECNAV You thought we’d confuse you saying Capt. Crozier was 'naïve and stupid’ with you meaning C…,Tue Apr 07 01:27:51 +0000 2020,0,19,50
@DanLamothe @sam_vinograd @SECNAV You thought we’d confuse you saying Capt. Crozier was 'naïve and stupid’ with you… https://t.co/v1EQknORaq,Tue Apr 07 01:27:46 +0000 2020,0,19,50
@JohnGilleard Favourite bit: “Everyone the scene was covered with small particles of dead whale.”,Tue Apr 07 01:27:36 +0000 2020,0,2409,1637
so emo that I would even take that I would even rather it be that one night where the pipes burst in AXO and… https://t.co/ZY5AcxOPc9,Tue Apr 07 01:27:18 +0000 2020,0,198,212
i genuinely cannot look at him for too long his neck just disappears into his head it looks so unnatural,Tue Apr 07 01:27:13 +0000 2020,0,312,169
My boyfriend taught me this. https://t.co/1rmDTfrbCZ,Tue Apr 07 01:27:04 +0000 2020,0,52,93
"You know that warm fuzzy feeling. #corona #coronamemes #tiger #bronxtiger #madeinamerica @ Lafayette, Indiana https://t.co/59aYFj0Sgy",Tue Apr 07 01:27:02 +0000 2020,0,650,20
@JohnGilleard 🤣,Tue Apr 07 01:26:46 +0000 2020,0,2409,1637
Virtually joining @MSUgymnastics for the 2020 #iFlippin5k on April 18! 🏃🏻‍♂️ https://t.co/rOrh9EyziK,Tue Apr 07 01:26:45 +0000 2020,0,89,256
"Live now! 

https://t.co/ILNrLjQZ7k https://t.co/AMoVuhSRGp",Tue Apr 07 01:26:37 +0000 2020,0,441,668
"for just as long as an upper respiratory virus? If this were a fungus I would get it, but it isn’t, so I’m just rea… https://t.co/tNnYYZv1L4",Tue Apr 07 01:26:28 +0000 2020,0,242,154
up to 5 days kind of boggles my mind. If any virus had this sort of “shelf life” wouldn’t we all have every sort of… https://t.co/to2DfAysB2,Tue Apr 07 01:26:27 +0000 2020,0,242,154
I’m not a scientist.. but if I’m not mistaken viruses don’t live very long outside of a host (not that a virus is a… https://t.co/8gCo3wGuXD,Tue Apr 07 01:26:27 +0000 2020,1,242,154
Big long trip back to Michigan so the one year old can see grandma and papa for the first time in months. https://t.co/0kIoEXjGnV,Tue Apr 07 01:26:10 +0000 2020,0,273,327
Way to Boiler Up! https://t.co/6Xlrbo2KOi,Tue Apr 07 01:25:49 +0000 2020,0,138,88
@MLBRandomStats Really looked forward to a bunch of $2 Tuesdays this year :(,Tue Apr 07 01:25:46 +0000 2020,0,55,220
@joletta_huizar You,Tue Apr 07 01:25:28 +0000 2020,1,258,91
"RT @samueltking: Paul Leaf, who spent the last six years as Lafayette Jeff's asst athletic director, will take over lead the athletic depar…",Tue Apr 07 01:25:26 +0000 2020,0,5503,5557
"Steve and Bob Ringle together made sure I stayed at Purdue at a crucial time in my career, and they provided the su… https://t.co/ybzkCA4mwT",Tue Apr 07 01:25:12 +0000 2020,2,5349,519
"RT @samueltking: Paul Leaf, who spent the last six years as Lafayette Jeff's asst athletic director, will take over lead the athletic depar…",Tue Apr 07 01:25:01 +0000 2020,0,508,315
@JohnGilleard If only they’d spoken to a veterinary pathologist. 😂,Tue Apr 07 01:24:57 +0000 2020,0,2409,1637
@DMamba6 Steel toe boots,Tue Apr 07 01:24:38 +0000 2020,2,1049,927
"RT @alyssamitchem1: This was supposed to be my last season with these girls, but with spring soccer getting cancelled, it will never happen…",Tue Apr 07 01:24:34 +0000 2020,0,138,88
@KatyKelleher @annehelen this right here.,Tue Apr 07 01:24:30 +0000 2020,2,610,1090
"RT @DaveShondell: 4/6 update on Tom Schermerhorn, basically more of the same. Tom remains on ventilator at about 40% assistance. @WestNoble…",Tue Apr 07 01:24:24 +0000 2020,0,174,628
The overtone has been ordered &amp; now we wait😁💕,Tue Apr 07 01:24:20 +0000 2020,0,309,265
"RT @WL_RDP: Love this. Thanks, Coach Fry, for putting this up! #RDP",Tue Apr 07 01:24:14 +0000 2020,0,138,88
"RT @bug_gwen: Stick insects also like the Village People, although they struggled with the M in YMCA 🤔 https://t.co/wJrYFZIPcU",Tue Apr 07 01:23:59 +0000 2020,0,70,191
"@ASavageNation If Hydroxychloroquine suppresses immune system, it can't be taken by ppl on biologics. Ie, Adalimuma… https://t.co/NaNlH2bRQ3",Tue Apr 07 01:23:55 +0000 2020,0,628,11
@JohnGilleard 😅,Tue Apr 07 01:23:43 +0000 2020,1,2409,1637
The past three weeks has felt like an eternity and I have never felt sad boi hours harder,Tue Apr 07 01:23:25 +0000 2020,1,198,212
"RT @jnessy_: @mumus72 @GiaPratamaMD PDP model ignorant begini yg harusnya dikasih stigma sama masyarakat sekitar, bukan ODP apalagi yg test…",Tue Apr 07 01:23:08 +0000 2020,0,59,98
#NewProfilePic https://t.co/YLhPiylEbK,Tue Apr 07 01:22:49 +0000 2020,0,269,1759
@Curufean https://t.co/p17ywzEt7O,Tue Apr 07 01:22:46 +0000 2020,0,45,258
RT @Brittne20439610: Trying different looks with my blue blood palette 😍💙😍 https://t.co/afPrfEvWsb,Tue Apr 07 01:22:43 +0000 2020,0,373,0
